Trans. Date,Post Date,Description,Amount,Category
01/01/2020,01/01/2020,"IPSY GLAM BAG HELP.IPSY.COMCA008M40CC",12.00,"Merchandise"
01/01/2020,01/01/2020,"THE ROASTERIE -BROOKSIDE KANSAS CITY MO",12.87,"Restaurants"
01/02/2020,01/02/2020,"CHEWY.COM 800-672-4399 FLPMT-191627398",66.33,"Merchandise"
01/02/2020,01/02/2020,"STARBUCKS 800-782-7282 WA8358167584NW696N",10.00,"Restaurants"
01/03/2020,01/03/2020,"AMAZON WEB SERVICES AWS.AMAZON.COWA2QUMKQY5E8U",7.79,"Services"
01/03/2020,01/03/2020,"BROOKSIDE MARKET #14 KANSAS CITY MO",35.46,"Supermarkets"
01/03/2020,01/03/2020,"CHIPOTLE 3194 OVERLAND KS",9.16,"Restaurants"
01/03/2020,01/03/2020,"FIVE GUYS KS 0281 QSR OLATHE KS",4.96,"Restaurants"
01/03/2020,01/03/2020,"FIVE GUYS KS 0281 QSR OLATHE KS",8.59,"Restaurants"
01/03/2020,01/03/2020,"FIVE GUYS KS 0281 QSR OLATHE KS",26.91,"Restaurants"
01/03/2020,01/03/2020,"HOT BASIL THAI CUISINE OVERLAND PARKKS",13.95,"Restaurants"
01/03/2020,01/03/2020,"MMS RESEARC00322636410 KANSAS CITY MO",7.16,"Restaurants"
01/03/2020,01/03/2020,"NORDSTROM DIRECT #0808 CEDAR RAPIDS IA",24.53,"Department Stores"
01/04/2020,01/04/2020,"ALDI 46051 OVERLAND PAR KS",120.60,"Supermarkets"
01/04/2020,01/04/2020,"BLUE VALLEY RECREATION OVERLAND PARKKS",10.00,"Government Services"
01/04/2020,01/04/2020,"CASEYS OLATHE OLATHE KS",40.38,"Gasoline"
01/04/2020,01/04/2020,"HOBBY-LOBBY #0075 OLATHE KS",125.83,"Merchandise"
01/04/2020,01/04/2020,"INTERNET PAYMENT - THANK YOU",-1633.87,"Payments and Credits"
01/05/2020,01/05/2020,"FRS TAC LLC 800-748-4949 NERC38181273",53.46,"Travel/ Entertainment"
01/05/2020,01/05/2020,"LOWE'S OF OLATHE, KS OLATHE KS",153.16,"Home Improvement"
01/05/2020,01/05/2020,"UNION STATION PARKING KANSAS CITY MO",5.00,"Services"
01/06/2020,01/06/2020,"CASEYS OLATHE OLATHE KS",16.64,"Gasoline"
01/06/2020,01/06/2020,"CHIPOTLE 0015 OVERLAND PARKKS",7.64,"Restaurants"
01/06/2020,01/06/2020,"GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0RHSBRE",1.99,"Merchandise"
01/06/2020,01/06/2020,"MINIT MART EG 772 OLATHE KS",34.82,"Gasoline"
01/06/2020,01/06/2020,"MMS RESEARC00322636410 KANSAS CITY MO",2.44,"Restaurants"
01/06/2020,01/06/2020,"PARISI CAFE KANSAS CITY MO",3.61,"Restaurants"
01/06/2020,01/06/2020,"WAL-MART SC - #0577 OLATHE KS",18.56,"Merchandise"
