Trans. Date,Post Date,Description,Amount,Category
10/15/2018,10/17/2018,"WALGREENS #4221 OVERLAND PARKKS",9.81,"Merchandise"
10/16/2018,10/16/2018,"HY-VEE GAS 5509 OVERLAND PARKKSITEM TRANSFERRED FROM PREV ACCOUNT",42.23,"Merchandise"
10/16/2018,10/16/2018,"WALGREENS #6112 OLATHE KSITEM TRANSFERRED FROM PREV ACCOUNT",16.41,"Merchandise"
10/16/2018,10/17/2018,"AMZN MKTP US*M84M95FK2 AMZN.COM/BILLWATXY3FDZY6LQ",63.37,"Merchandise"
10/19/2018,10/19/2018,"CASEYS OLATHE OLATHE KS",24.66,"Gasoline"
10/19/2018,10/19/2018,"GARRY GRIBBLES RUNNING S OVERLAND PARKKS",3.11,"Merchandise"
10/19/2018,10/19/2018,"HOUSE OF DIAMONDS OVERLAND PARKKS",243.29,"Merchandise"
10/19/2018,10/19/2018,"SAWASDEE THAI CUISINE OVERLAND PARKKS",10.73,"Restaurants"
10/19/2018,10/19/2018,"TARGET OLATHE KS",8.61,"Supermarkets"
10/20/2018,10/20/2018,"CHIPOTLE 0016 KANSAS CITY MO",7.61,"Restaurants"
10/20/2018,10/20/2018,"OLD NAVY ON-LINE 800-OLDNAVY OHITEM TRANSFERRED FROM PREV ACCOUNT",-12.09,"Payments and Credits"
10/20/2018,10/20/2018,"OP FARMSTEAD OVERLAND PARKKS",36.00,"Services"
10/20/2018,10/20/2018,"OPERA HOUSE CAFE KANSAS CITY MO",10.00,"Restaurants"
10/20/2018,10/20/2018,"UNION STATION PARKING KANSAS CITY MO",5.00,"Services"
10/20/2018,10/22/2018,"LOFT 1458 LEAWOOD TOWN C LEAWOOD KS",-58.59,"Payments and Credits"
10/21/2018,10/21/2018,"ALDI 46095 OLATHE KS",0.22,"Supermarkets"
10/21/2018,10/21/2018,"ALDI 46095 OLATHE KS",20.08,"Supermarkets"
10/21/2018,10/21/2018,"SHERWIN WILLIAMS 707268 LENEXA KS",5.57,"Home Improvement"
10/21/2018,10/21/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011850795087",2.00,"Restaurants"
10/21/2018,10/21/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011850351612",3.19,"Restaurants"
10/21/2018,10/21/2018,"TRADER JOE'S #723 QPS LEAWOOD KS",65.36,"Supermarkets"
10/22/2018,10/22/2018,"AMZN MKTP US*M840W9LL1 AMZN.COM/BILLWA46SKN558FGS",11.32,"Merchandise"
10/22/2018,10/22/2018,"AMZN MKTP US*M880R0L21 AMZN.COM/BILLWA1ENZQI51VB7",4.39,"Merchandise"
10/22/2018,10/22/2018,"GREEN LANTERN - 7 OVERLAND PARKKS",8.73,"Automotive"
10/22/2018,10/22/2018,"UMKC EINSTE23083637579 KANSAS CITY MO",2.53,"Restaurants"
10/22/2018,10/22/2018,"WAL-MART SC - #3273 OVERLAND PARKKS",3.17,"Supermarkets"
10/22/2018,10/22/2018,"WAL-MART SC - #3273 OVERLAND PARKKS",8.63,"Supermarkets"
10/23/2018,10/23/2018,"3ACOMPANYKITCHEN 877-280 MERRIAM KS",1.52,"Restaurants"
10/23/2018,10/23/2018,"3ACOMPANYKITCHEN 877-280 MERRIAM KS",2.39,"Restaurants"
10/23/2018,10/23/2018,"SAWASDEE THAI CUISINE OVERLAND PARKKS",10.73,"Restaurants"
10/23/2018,10/23/2018,"SHERWIN WILLIAMS 707241 OLATHE KS",21.28,"Home Improvement"
10/24/2018,10/24/2018,"CHIPOTLE 0051 KANSAS CITY MO",7.61,"Restaurants"
10/24/2018,10/24/2018,"FRIENDS LIQUOR OVERLAND PARKKS",15.22,"Merchandise"
10/24/2018,10/24/2018,"SONIC DRIVE IN #3317 STANLEY KS",2.06,"Restaurants"
10/24/2018,10/24/2018,"SONIC DRIVE IN #3317 STANLEY KS",6.95,"Restaurants"
10/24/2018,10/24/2018,"SQ *CROWS COFFEE PRAIRIE VILLAKS0002305843011855015881",3.43,"Supermarkets"
10/24/2018,10/24/2018,"TARGET OVERLAND PARKKS",21.67,"Supermarkets"
10/24/2018,10/24/2018,"THE ROASTERIE -BROOKSIDE KANSAS CITY MO",4.58,"Restaurants"
10/25/2018,10/25/2018,"SHOPRIFFRAFF.COM 4797995763 AR",120.00,"Merchandise"
10/25/2018,10/25/2018,"SQ *BLACKDOG COFFEEHOU LENEXA KS0002305843011856729211",3.19,"Restaurants"
